BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0046914_1   W-C-RC  1.53    0.94       449         480      61.23  0       510    61        0          30           2
SUPA0046914_10  W-C-RC  1.53    0.90       433         480      61.23  0       434    1         0          6            2
SUPA0046914_2   W-C-RC  1.53    0.84       405         480      57.35  0       407    2         0          6            2
SUPA0046914_3   W-C-RC  1.53    0.85       407         480      56.90  0       428    21        0          5            0
SUPA0046914_4   W-C-RC  1.53    0.90       430         480      57.64  0       438    8         0          10           0
SUPA0046914_5   W-C-RC  1.53    0.91       436         480      62.51  0       454    18        2          9            0
SUPA0046914_6   W-C-RC  1.53    0.42       201         480      62.57  0       213    12        0          3            0
SUPA0046914_7   W-C-RC  1.53    0.81       390         480      58.40  0       430    40        1          5            2
SUPA0046914_8   W-C-RC  1.53    0.95       454         480      56.98  0       473    19        0          19           1
SUPA0046914_9   W-C-RC  1.53    0.82       395         480      57.82  0       398    3         0          11           0
