BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0121409_5   W-S-I+  0.85    1.20       289         240      54.84  0       325    36        0          4            4
SUPA0121409_6   W-S-I+  0.85    1.25       300         240      54.34  0       307    7         0          10           2
SUPA0121409_7   W-S-I+  0.85    1.25       301         240      52.35  0       327    26        1          6            6
SUPA0121409_8   W-S-I+  0.85    1.13       271         240      52.30  0       284    13        0          6            1
SUPA0121409_9   W-S-I+  0.85    1.17       280         240      52.53  0       296    16        0          7            4
SUPA0121410_1   W-S-I+  0.93    1.00       239         240      54.79  0       263    24        1          6            2
SUPA0121410_10  W-S-I+  0.93    1.20       289         240      54.79  0       297    8         0          8            1
SUPA0121410_2   W-S-I+  0.93    1.20       288         240      52.50  0       298    10        0          11           3
SUPA0121410_3   W-S-I+  0.93    1.37       328         240      52.42  0       338    10        0          9            4
SUPA0121410_4   W-S-I+  0.93    1.18       282         240      52.53  0       297    15        0          10           6
SUPA0121410_5   W-S-I+  0.93    1.04       249         240      54.86  0       308    59        0          10           4
SUPA0121410_6   W-S-I+  0.93    1.18       283         240      54.25  0       294    11        0          5            2
SUPA0121410_7   W-S-I+  0.93    1.20       288         240      52.35  0       310    22        0          12           3
SUPA0121410_8   W-S-I+  0.93    1.14       274         240      52.24  0       286    12        0          11           5
SUPA0121411_1   W-S-I+  0.85    1.17       281         240      54.13  0       281    0         1          6            5
SUPA0121411_10  W-S-I+  0.85    1.01       242         240      54.13  0       248    6         0          6            2
SUPA0121411_2   W-S-I+  0.85    1.18       282         240      52.06  0       295    13        0          7            2
SUPA0121411_3   W-S-I+  0.85    1.16       279         240      51.99  0       286    7         0          14           2
SUPA0121411_4   W-S-I+  0.85    1.03       247         240      52.09  0       252    5         0          4            1
SUPA0121411_5   W-S-I+  0.85    1.10       263         240      54.39  0       268    5         1          4            5
SUPA0121411_6   W-S-I+  0.85    1.36       326         240      53.85  0       332    6         0          9            3
SUPA0121411_7   W-S-I+  0.85    1.26       303         240      51.85  0       330    27        0          6            3
SUPA0121411_8   W-S-I+  0.85    1.01       243         240      51.85  0       250    7         0          8            2
SUPA0121411_9   W-S-I+  0.85    1.07       257         240      52.01  0       265    8         0          6            2
SUPA0121412_1   W-S-I+  0.87    1.22       293         240      54.97  0       295    2         0          6            4
SUPA0121412_10  W-S-I+  0.87    1.20       287         240      54.97  0       292    5         0          11           3
SUPA0121412_2   W-S-I+  0.87    1.25       299         240      52.67  0       318    19        1          7            4
SUPA0121412_4   W-S-I+  0.87    1.12       270         240      52.71  0       279    9         0          4            2
SUPA0121412_5   W-S-I+  0.87    1.23       295         240      55.02  0       301    6         0          8            1
SUPA0121412_6   W-S-I+  0.87    1.20       288         240      54.41  0       298    10        0          7            6
