#      name         ra(2000.0)  dec(2000.0)   g   gerr   r   rerr   i   ierr    z     zerr
J122652.2+214952 12 26 52.277 +21 49 52.003 23.36 0.03 21.14 0.03 20.88 0.03 0.43480 0.00060
J122648.0+215022 12 26 48.069 +21 50 22.325 22.61 0.03 20.46 0.03 20.19 0.03 0.43390 0.00060
J122649.0+214959 12 26 49.080 +21 49 59.528 22.85 0.03 20.80 0.03 20.54 0.03 0.43100 0.00060
J122649.5+215006 12 26 49.534 +21 50 06.519 22.48 0.03 20.51 0.03 20.27 0.03 0.43620 0.00060
J122657.5+214949 12 26 57.568 +21 49 49.661 24.10 0.04 21.91 0.03 21.61 0.03 0.43360 0.00060
J122631.5+214331 12 26 31.556 +21 43 31.148 22.91 0.03 21.09 0.03 20.78 0.03 0.34716 0.00031
J122702.5+214513 12 27 02.542 +21 45 13.342 21.38 0.03 19.14 0.03 18.80 0.03 0.43767 0.00008
J122651.1+214952 12 26 51.116 +21 49 52.332 19.86 0.03 17.66 0.03 17.35 0.03 0.43764 0.00008
J122700.8+214520 12 27 00.831 +21 45 20.435 23.05 0.03 20.92 0.03 20.62 0.03 0.43930 0.00017
J122659.6+214248 12 26 59.623 +21 42 48.439 22.69 0.03 20.61 0.03 20.30 0.03 0.43144 0.00014
J122645.5+214654 12 26 45.509 +21 46 54.024 22.26 0.03 20.21 0.03 19.85 0.03 0.45925 0.00015
J122657.5+214557 12 26 57.594 +21 45 57.026 22.10 0.03 20.09 0.03 19.84 0.03 0.34793 0.00011
J122606.6+215332 12 26 06.636 +21 53 32.629 22.34 0.03 20.29 0.03 19.94 0.03 0.43243 0.00013
J122643.3+215224 12 26 43.396 +21 52 24.747 22.57 0.03 20.42 0.03 20.14 0.03 0.43770 0.00013
J122614.8+214626 12 26 14.810 +21 46 26.215 22.12 0.03 20.11 0.03 19.82 0.03 0.37874 0.00010
J122603.8+215201 12 26 03.809 +21 52 01.923 22.24 0.03 20.24 0.03 19.91 0.03 0.48250 0.00014
J122604.0+215815 12 26 04.069 +21 58 15.760 22.43 0.03 20.88 0.03 20.70 0.03 0.43565 0.00019
J122652.4+215629 12 26 52.478 +21 56 29.516 22.02 0.03 19.98 0.03 19.70 0.03 0.43826 0.00008
J122605.6+215850 12 26 05.658 +21 58 50.161 21.95 0.03 19.93 0.03 19.61 0.03 0.43109 0.00011
