# Mbpz_ra Mbpz_dec zspec_ra zspec_dec zspec_z Mbpz_z Mbpz_odds d2d_arcsec
186.7082861074641 21.861793116267044 186.7083875 21.861890833333334 0.4272 0.52 1.0 0.48837542671945555
186.71330052706156 21.853301398976793 186.71337916666664 21.853372500000003 0.4319 0.47 1.0 0.3668236174294018
186.709514302872 21.882553315154897 186.709625 21.882701944444445 0.4392 0.51 1.0 0.6504188440245213
186.71723890168525 21.849419685074594 186.71731666666665 21.84951583333333 0.4317 0.42 1.0 0.4328130690944669
186.7177553774214 21.846475026348354 186.71783333333332 21.8465575 0.4357 0.44 1.0 0.3949759674815516
186.7097026586721 21.895785066309898 186.70979166666663 21.8959275 0.4379 0.47 1.0 0.5927223616783275
186.71328575461868 21.881309199363262 186.7133958333333 21.881389722222224 0.4363 0.44 1.0 0.46825224631216844
186.71269702846755 21.892906872991755 186.7128 21.89301861111111 0.4422 0.5 1.0 0.5292653585437124
186.71799192472508 21.862602709906295 186.71807916666666 21.862684166666668 0.4384 0.46 1.0 0.4134663763157277
186.71886188826946 21.85945536736405 186.7189625 21.859546666666667 0.4332 0.45 1.0 0.47014070429375965
186.71849121225046 21.86710771019054 186.71858333333333 21.867178055555556 0.4439 0.71 1.0 0.3985692394467747
186.71563627948288 21.89463648143694 186.7157458333333 21.89480222222222 0.4416 0.54 1.0 0.6999486609882261
186.72773222154566 21.861571312524283 186.72781249999997 21.8616525 0.4336 0.43 1.0 0.3966939746279019
186.68086894479578 21.831324133415556 186.68092499999997 21.83141138888889 0.45892 0.44 1.0 0.3657352826784798
186.68323538338436 21.823041245670883 186.68330416666663 21.823085833333334 0.44086 0.41 1.0 0.28037032280830754
186.68399604275916 21.838267652179074 186.68406666666667 21.8383675 0.45771 0.48 1.0 0.43000252252303417
186.6880189529717 21.830325952765936 186.68807916666665 21.830413888888888 0.45823 0.43 1.0 0.3751105194796114
186.6871581550612 21.844356866198673 186.68724166666667 21.844461388888888 0.43877 0.44 1.0 0.4684651587394118
186.6893878411479 21.840269759842794 186.68945416666665 21.84033972222222 0.46981 0.46 1.0 0.3354956467560525
186.69669777728996 21.819266614205954 186.69676249999998 21.819330277777777 0.43302 0.46 1.0 0.31514664296202793
186.69624378018017 21.829996625675133 186.69632083333332 21.83009138888889 0.43329 0.43 1.0 0.4274199986813225
186.69862097169266 21.83481532863497 186.6987 21.834913333333333 0.43739 0.44 1.0 0.4407087172131488
186.70400903249913 21.81295521958385 186.7040708333333 21.81301888888889 0.44325 0.43 1.0 0.30854720247914025
186.69993708638916 21.84596121240096 186.70001249999999 21.846061666666664 0.45976 0.48 1.0 0.44077252874089234
186.70518608471207 21.827266171637557 186.70524583333332 21.827350555555554 0.44486 0.44 1.0 0.36352924544529114
186.70979471925764 21.805578675718294 186.7098375 21.80559527777778 0.43907 0.44 1.0 0.15497939345678471
186.7086874234642 21.84157945106531 186.70877083333332 21.841672777777777 0.43826 0.46 1.0 0.4365376174269603
186.71347529448633 21.819529204414803 186.7135333333333 21.81960861111111 0.45012 0.48 1.0 0.34546071339543
186.70813598253724 21.85528201322974 186.7082208333333 21.855375277777778 0.43051 0.42 1.0 0.43943895168091757
186.71776392070723 21.832253950346185 186.71783333333332 21.832361111111112 0.43471 0.43 1.0 0.45014659697078063
186.72208468161648 21.809410787361873 186.72215416666666 21.8094425 0.4343 0.46 1.0 0.258785739955936
186.72088779435396 21.821465412644955 186.72094583333333 21.82154472222222 0.43969 0.43 1.0 0.34517023005585795
186.72217618977643 21.819164992422795 186.72222916666666 21.81922527777778 0.4407 0.43 1.0 0.28008748287226526
