name             ra            dec            g     gerr r     rerr i     ierr z       zerr
J122657.5+214949 12h26m57.568s +21d49m49.661s 24.10 0.04 21.91 0.03 21.61 0.03 0.43360 0.00060
J122631.5+214331 12h26m31.556s +21d43m31.148s 22.91 0.03 21.09 0.03 20.78 0.03 0.34716 0.00031
J122702.5+214513 12h27m02.542s +21d45m13.342s 21.38 0.03 19.14 0.03 18.80 0.03 0.43767 0.00008
J122651.1+214952 12h26m51.116s +21d49m52.332s 19.86 0.03 17.66 0.03 17.35 0.03 0.43764 0.00008
J122700.8+214520 12h27m00.831s +21d45m20.435s 23.05 0.03 20.92 0.03 20.62 0.03 0.43930 0.00017
J122659.6+214248 12h26m59.623s +21d42m48.439s 22.69 0.03 20.61 0.03 20.30 0.03 0.43144 0.00014
J122645.5+214654 12h26m45.509s +21d46m54.024s 22.26 0.03 20.21 0.03 19.85 0.03 0.45925 0.00015
J122657.5+214557 12h26m57.594s +21d45m57.026s 22.10 0.03 20.09 0.03 19.84 0.03 0.34793 0.00011
J122606.6+215332 12h26m06.636s +21d53m32.629s 22.34 0.03 20.29 0.03 19.94 0.03 0.43243 0.00013
J122643.3+215224 12h26m43.396s +21d52m24.747s 22.57 0.03 20.42 0.03 20.14 0.03 0.43770 0.00013
J122614.8+214626 12h26m14.810s +21d46m26.215s 22.12 0.03 20.11 0.03 19.82 0.03 0.37874 0.00010
J122603.8+215201 12h26m03.809s +21d52m01.923s 22.24 0.03 20.24 0.03 19.91 0.03 0.48250 0.00014
J122604.0+215815 12h26m04.069s +21d58m15.760s 22.43 0.03 20.88 0.03 20.70 0.03 0.43565 0.00019
J122652.4+215629 12h26m52.478s +21d56m29.516s 22.02 0.03 19.98 0.03 19.70 0.03 0.43826 0.00008
J122605.6+215850 12h26m05.658s +21d58m50.161s 21.95 0.03 19.93 0.03 19.61 0.03 0.43109 0.00011
J122650.3+215629 12h26m50.372s +21d56m29.474s 22.90 0.03 20.76 0.03 20.44 0.03 0.43481 0.00012
J122629.3+215617 12h26m29.312s +21d56m17.424s 22.13 0.03 20.00 0.03 19.65 0.03 0.42949 0.00010
J122642.7+215807 12h26m42.773s +21d58m07.630s 22.75 0.03 20.77 0.03 20.36 0.03 0.57155 0.00015
J122650.4+214442 12h26m50.471s +21d44m42.037s 22.37 0.03 20.34 0.03 20.08 0.03 0.37859 0.00011
J122656.3+214854 12h26m56.353s +21d48m54.098s 23.10 0.03 21.08 0.03 20.77 0.03 0.43751 0.00015
J122654.5+214426 12h26m54.521s +21d44m26.382s 22.64 0.03 20.56 0.03 20.26 0.03 0.43877 0.00014
J122653.4+214913 12h26m53.478s +21d49m13.784s 22.93 0.03 20.78 0.03 20.35 0.03 0.44214 0.00014
J122643.5+214243 12h26m43.590s +21d42m43.186s 21.72 0.03 19.67 0.03 19.39 0.03 0.34813 0.00012
J122633.4+214645 12h26m33.483s +21d46m45.743s 22.90 0.03 20.91 0.03 20.63 0.03 0.35459 0.00016
J122641.5+214829 12h26m41.598s +21d48m29.159s 22.80 0.03 20.68 0.03 20.40 0.03 0.43132 0.00014
J122648.6+214947 12h26m48.647s +21d49m47.650s 22.48 0.03 20.40 0.03 20.14 0.03 0.44485 0.00012
J122625.1+214734 12h26m25.166s +21d47m34.571s 22.81 0.03 20.84 0.03 20.59 0.03 0.43117 0.00017
J122604.4+214125 12h26m04.431s +21d41m25.066s 22.34 0.03 20.29 0.03 20.11 0.03 0.45895 0.00013
J122643.4+214949 12h26m43.407s +21d49m49.400s 23.05 0.03 21.10 0.03 20.74 0.03 0.45906 0.00015
J122633.1+215056 12h26m33.116s +21d50m56.060s 22.97 0.03 20.85 0.03 20.58 0.03 0.43686 0.00010
J122547.7+214404 12h25m47.714s +21d44m04.093s 21.98 0.03 20.18 0.03 19.98 0.03 0.35617 0.00012
J122556.5+214545 12h25m56.583s +21d45m45.827s 22.48 0.03 20.66 0.03 20.41 0.03 0.33632 0.00016
J122644.7+215114 12h26m44.762s +21d51m14.236s 22.80 0.03 20.77 0.03 20.51 0.03 0.43943 0.00014
J122621.8+214901 12h26m21.815s +21d49m01.370s 21.11 0.03 19.09 0.03 18.81 0.03 0.34793 0.00009
J122608.6+214734 12h26m08.646s +21d47m34.955s 21.31 0.03 19.44 0.03 19.15 0.03 0.43462 0.00010
J122649.3+215223 12h26m49.387s +21d52m23.037s 22.75 0.03 20.71 0.03 20.38 0.03 0.43515 0.00014
J122550.6+214911 12h25m50.684s +21d49m11.285s 23.69 0.03 21.59 0.03 21.24 0.03 0.54931 0.00013
J122556.3+215117 12h25m56.364s +21d51m17.133s 22.35 0.03 20.15 0.03 19.81 0.03 0.43741 0.00014
J122558.6+215053 12h25m58.612s +21d50m53.224s 22.31 0.03 20.27 0.03 19.90 0.03 0.43400 0.00016
J122621.8+215105 12h26m21.841s +21d51m05.048s 22.31 0.03 20.27 0.03 19.99 0.03 0.40282 0.00009
J122616.4+215117 12h26m16.454s +21d51m17.099s 23.04 0.03 21.13 0.03 20.62 0.03 0.54353 0.00021
J122645.2+215335 12h26m45.267s +21d53m35.176s 21.79 0.03 19.79 0.03 19.48 0.03 0.44017 0.00010
J122646.7+215246 12h26m46.736s +21d52m46.274s 22.48 0.03 20.48 0.03 20.19 0.03 0.43860 0.00010
J122625.8+215527 12h26m25.814s +21d55m27.209s 21.24 0.03 19.04 0.03 18.76 0.03 0.43342 0.00009
J122646.7+215355 12h26m46.736s +21d53m55.384s 22.86 0.03 20.66 0.03 20.36 0.03 0.43779 0.00015
J122556.7+215751 12h25m56.796s +21d57m51.089s 22.11 0.03 20.12 0.03 19.80 0.03 0.43349 0.00011
J122652.6+215329 12h26m52.657s +21d53m29.683s 23.18 0.03 21.11 0.03 20.81 0.03 0.43265 0.00014
J122630.5+215810 12h26m30.586s +21d58m10.432s 21.30 0.03 19.18 0.03 18.81 0.03 0.48305 0.00010
J122623.4+215854 12h26m23.478s +21d58m54.830s 21.25 0.03 19.65 0.03 19.46 0.03 0.33429 0.00010
J122547.7+220413 12h25m47.714s +22d04m13.743s 22.10 0.03 19.99 0.03 19.79 0.03 0.42216 0.00010
J122651.4+215422 12h26m51.412s +21d54m22.438s 22.71 0.03 20.63 0.03 20.30 0.03 0.43477 0.00008
J122648.5+215537 12h26m48.519s +21d55m37.351s 22.33 0.03 20.31 0.03 20.05 0.03 0.43724 0.00012
J122638.7+215851 12h26m38.727s +21d58m51.830s 23.03 0.03 21.05 0.03 20.75 0.03 0.43632 0.00010
J122653.1+215845 12h26m53.115s +21d58m45.142s 22.64 0.03 20.72 0.03 20.40 0.03 0.43418 0.00008
J122654.6+215642 12h26m54.624s +21d56m42.624s 23.55 0.03 21.57 0.03 21.31 0.03 0.21136 0.00007
J122656.5+220522 12h26m56.547s +22d05m22.483s 21.90 0.03 19.81 0.03 19.46 0.03 0.43265 0.00011
J122657.5+220012 12h26m57.598s +22d00m12.071s 22.13 0.03 20.67 0.03 20.51 0.03 0.51975 0.00007
J122656.2+215910 12h26m56.287s +21d59m10.452s 21.16 0.03 19.02 0.03 18.71 0.03 0.43687 0.00009
J122651.0+220207 12h26m51.097s +22d02m07.551s 22.20 0.03 20.13 0.03 19.86 0.03 0.51710 0.00010
J122708.4+220520 12h27m08.467s +22d05m20.492s 22.79 0.03 20.70 0.03 20.36 0.03 0.45884 0.00015
J122655.3+215247 12h26m55.397s +21d52m47.564s 22.51 0.03 20.47 0.03 20.06 0.03 0.53557 0.00009
J122703.6+215442 12h27m03.644s +21d54m42.186s 22.54 0.03 20.43 0.03 20.07 0.03 0.43739 0.00015
J122704.5+215854 12h27m04.581s +21d58m54.405s 22.05 0.03 20.50 0.03 20.15 0.03 0.66557 0.00006
J122713.3+220147 12h27m13.363s +22d01m47.639s 23.03 0.03 20.91 0.03 20.55 0.03 0.51262 0.00013
