BASE            FILTER  SEEING  RATE_BBCR  TOTAL_BBCR  EXPTIME  RMS    ERASED  TOTAL  CRonSTAR  FT400_new  LastStretch  SS_removed
SUPA0118303_8   W-C-IC  1.08    1.50       270         180      34.83  0       282    12        0          6            5
SUPA0118303_9   W-C-IC  1.08    1.43       257         180      35.02  0       271    14        0          7            4
SUPA0118304_1   W-C-IC  1.11    1.30       234         180      35.39  0       238    4         0          1            3
SUPA0118304_10  W-C-IC  1.11    1.44       260         180      35.39  0       260    0         1          6            3
SUPA0118304_2   W-C-IC  1.11    1.35       243         180      34.59  0       248    5         0          6            7
SUPA0118304_3   W-C-IC  1.11    1.32       238         180      34.34  0       242    4         0          7            2
SUPA0118304_4   W-C-IC  1.11    1.34       241         180      34.22  0       245    4         0          6            3
SUPA0118304_5   W-C-IC  1.11    1.47       264         180      35.76  0       274    10        1          6            2
SUPA0118304_6   W-C-IC  1.11    1.42       256         180      36.77  0       268    12        1          6            2
SUPA0118304_7   W-C-IC  1.11    1.16       209         180      34.85  0       213    4         0          1            4
SUPA0118304_8   W-C-IC  1.11    1.22       219         180      34.25  0       225    6         1          5            5
SUPA0118304_9   W-C-IC  1.11    1.39       251         180      33.86  0       255    4         0          7            1
SUPA0118305_1   W-C-IC  0.99    1.40       252         180      35.36  0       263    11        0          3            7
SUPA0118305_10  W-C-IC  0.99    1.32       237         180      35.36  0       237    0         2          8            4
SUPA0118305_2   W-C-IC  0.99    1.44       259         180      34.11  1       267    8         0          6            4
SUPA0118305_3   W-C-IC  0.99    1.96       352         180      34.05  0       353    1         0          13           4
SUPA0118305_4   W-C-IC  0.99    1.63       293         180      33.93  0       308    15        0          5            0
SUPA0118305_5   W-C-IC  0.99    1.40       252         180      35.34  0       258    6         0          7            3
SUPA0118305_6   W-C-IC  0.99    1.51       271         180      35.94  0       273    2         0          4            4
SUPA0118305_7   W-C-IC  0.99    1.31       235         180      34.30  0       244    9         1          3            5
SUPA0118305_8   W-C-IC  0.99    1.47       265         180      34.33  0       277    12        0          9            3
SUPA0118305_9   W-C-IC  0.99    1.36       245         180      34.28  0       249    4         0          5            0
SUPA0118306_1   W-C-IC  1.05    1.53       276         180      35.31  0       280    4         0          5            2
SUPA0118306_10  W-C-IC  1.05    1.26       227         180      35.31  0       228    1         0          5            2
SUPA0118306_2   W-C-IC  1.05    1.36       245         180      34.57  0       251    6         1          5            1
SUPA0118306_3   W-C-IC  1.05    1.40       252         180      34.26  0       261    9         1          7            4
SUPA0118306_4   W-C-IC  1.05    1.52       273         180      34.17  0       279    6         0          8            5
SUPA0118306_5   W-C-IC  1.05    1.25       225         180      35.86  0       234    9         0          4            3
SUPA0118306_6   W-C-IC  1.05    1.62       292         180      36.49  0       306    14        2          7            4
SUPA0118306_7   W-C-IC  1.05    1.41       253         180      34.86  0       258    5         0          9            6
SUPA0118306_8   W-C-IC  1.05    1.51       272         180      34.16  0       278    6         0          6            1
SUPA0118306_9   W-C-IC  1.05    1.27       229         180      33.75  0       233    4         1          7            3
SUPA0118307_1   W-C-IC  0.94    1.44       259         180      35.31  0       263    4         0          5            2
SUPA0118307_10  W-C-IC  0.94    1.45       261         180      35.31  0       262    1         0          10           7
SUPA0118307_2   W-C-IC  0.94    1.60       288         180      34.53  0       297    9         0          3            3
SUPA0118307_3   W-C-IC  0.94    1.30       234         180      34.32  0       243    9         0          6            3
SUPA0118307_4   W-C-IC  0.94    1.48       266         180      34.20  0       275    9         0          14           3
SUPA0118307_5   W-C-IC  0.94    1.22       219         180      35.95  0       231    12        0          2            3
SUPA0118307_6   W-C-IC  0.94    1.24       224         180      36.58  0       235    11        0          4            3
SUPA0118307_7   W-C-IC  0.94    1.28       231         180      34.88  0       234    3         0          1            2
SUPA0118307_8   W-C-IC  0.94    1.46       262         180      34.13  0       269    7         0          7            6
SUPA0118307_9   W-C-IC  0.94    1.40       252         180      33.75  0       258    6         0          7            2
SUPA0118309_1   W-C-IC  0.82    1.42       256         180      36.16  0       277    21        2          10           3
SUPA0118309_10  W-C-IC  0.82    1.45       261         180      36.16  0       262    1         0          1            3
SUPA0118309_2   W-C-IC  0.82    1.42       256         180      34.67  0       267    11        0          3            0
SUPA0118309_3   W-C-IC  0.82    1.62       292         180      34.60  0       294    2         0          13           5
SUPA0118309_4   W-C-IC  0.82    1.54       278         180      34.65  0       289    11        2          8            2
SUPA0118309_5   W-C-IC  0.82    1.56       281         180      36.08  0       293    12        0          8            5
SUPA0118309_6   W-C-IC  0.82    1.33       239         180      36.50  0       239    0         0          4            2
SUPA0118309_7   W-C-IC  0.82    1.42       256         180      34.89  0       267    11        0          5            3
SUPA0118309_8   W-C-IC  0.82    1.47       264         180      34.94  0       272    8         0          9            1
SUPA0118309_9   W-C-IC  0.82    1.24       224         180      34.90  0       230    6         0          9            2
