FILE            	DOTHIS                                	TOTHIS        	
SUPA0142077.fits	FLAT                                  	Abell2744_2013	
SUPA0142078.fits	FLAT                                  	Abell2744_2013	
SUPA0142040.fits	OBJECT                                	Abell2744_2013	
SUPA0142041.fits	OBJECT                                	Abell2744_2013	
SUPA0142042.fits	OBJECT                                	Abell2744_2013	
SUPA0142043.fits	OBJECT                                	Abell2744_2013	
SUPA0142044.fits	OBJECT                                	Abell2744_2013	
SUPA0142045.fits	OBJECT                                	Abell2744_2013	
SUPA0142046.fits	OBJECT                                	Abell2744_2013	
SUPA0142047.fits	OBJECT                                	Abell2744_2013	
SUPA0142048.fits	OBJECT                                	Abell2744_2013	
SUPA0142049.fits	OBJECT                                	Abell2744_2013	
SUPA0142050.fits	OBJECT                                	Abell2744_2013	
SUPA0142051.fits	OBJECT                                	Abell2744_2013	
SUPA0142052.fits	OBJECT                                	Abell2744_2013	
SUPA0142061.fits	FLAT                                  	Abell2744_2013	
SUPA0142062.fits	FLAT                                  	Abell2744_2013	
SUPA0142063.fits	FLAT                                  	Abell2744_2013	
SUPA0142064.fits	FLAT                                  	Abell2744_2013	
SUPA0142065.fits	FLAT                                  	Abell2744_2013	
SUPA0142066.fits	FLAT                                  	Abell2744_2013	
SUPA0142067.fits	FLAT                                  	Abell2744_2013	
SUPA0142068.fits	FLAT                                  	Abell2744_2013	
SUPA0142069.fits	FLAT                                  	Abell2744_2013	
SUPA0142070.fits	FLAT                                  	Abell2744_2013	
SUPA0142071.fits	FLAT                                  	Abell2744_2013	
SUPA0142072.fits	FLAT                                  	Abell2744_2013	
SUPA0142079.fits	FLAT                                  	Abell2744_2013	
SUPA0142080.fits	FLAT                                  	Abell2744_2013	
SUPA0142081.fits	FLAT                                  	Abell2744_2013	
SUPA0142082.fits	FLAT                                  	Abell2744_2013	
SUPA0142083.fits	FLAT                                  	Abell2744_2013	
SUPA0142023.fits	OBJECT                                	Abell2744_2013	
SUPA0142024.fits	OBJECT                                	Abell2744_2013	
SUPA0142025.fits	OBJECT                                	Abell2744_2013	
SUPA0142026.fits	OBJECT                                	Abell2744_2013	
SUPA0142027.fits	OBJECT                                	Abell2744_2013	
SUPA0142028.fits	OBJECT                                	Abell2744_2013	
SUPA0142029.fits	OBJECT                                	Abell2744_2013	
SUPA0142030.fits	OBJECT                                	Abell2744_2013	
SUPA0142031.fits	OBJECT                                	Abell2744_2013	
SUPA0142032.fits	OBJECT                                	Abell2744_2013	
SUPA0142033.fits	OBJECT                                	Abell2744_2013	
SUPA0142034.fits	OBJECT                                	Abell2744_2013	
SUPA0142035.fits	OBJECT                                	Abell2744_2013	
SUPA0142036.fits	OBJECT                                	Abell2744_2013	
SUPA0142037.fits	OBJECT                                	Abell2744_2013	
SUPA0142038.fits	OBJECT                                	Abell2744_2013	
SUPA0142197.fits	OBJECT                                	Abell2744_2013	
SUPA0142198.fits	OBJECT                                	Abell2744_2013	
SUPA0142199.fits	OBJECT                                	Abell2744_2013	
SUPA0142200.fits	OBJECT                                	Abell2744_2013	
SUPA0142201.fits	OBJECT                                	Abell2744_2013	
SUPA0142202.fits	OBJECT                                	Abell2744_2013	
SUPA0142203.fits	OBJECT                                	Abell2744_2013	
SUPA0142204.fits	OBJECT                                	Abell2744_2013	
SUPA0142096.fits	FLAT                                  	Abell2744_2013	
SUPA0142097.fits	FLAT                                  	Abell2744_2013	
SUPA0142098.fits	FLAT                                  	Abell2744_2013	
SUPA0142099.fits	FLAT                                  	Abell2744_2013	
SUPA0142100.fits	FLAT                                  	Abell2744_2013	
SUPA0142101.fits	FLAT                                  	Abell2744_2013	
SUPA0142102.fits	FLAT                                  	Abell2744_2013	
SUPA0142189.fits	OBJECT                                	Abell2744_2013	
SUPA0142190.fits	OBJECT                                	Abell2744_2013	
SUPA0142191.fits	OBJECT                                	Abell2744_2013	
SUPA0142192.fits	OBJECT                                	Abell2744_2013	
SUPA0142193.fits	OBJECT                                	Abell2744_2013	
SUPA0142194.fits	OBJECT                                	Abell2744_2013	
SUPA0142195.fits	OBJECT                                	Abell2744_2013	
SUPA0142214.fits	FLAT                                  	Abell2744_2013	
SUPA0142215.fits	FLAT                                  	Abell2744_2013	
SUPA0142216.fits	FLAT                                  	Abell2744_2013	
SUPA0142217.fits	FLAT                                  	Abell2744_2013	
SUPA0142218.fits	FLAT                                  	Abell2744_2013	
SUPA0142219.fits	FLAT                                  	Abell2744_2013	
SUPA0142220.fits	FLAT                                  	Abell2744_2013	
SUPA0142221.fits	FLAT                                  	Abell2744_2013	
SUPA0142222.fits	FLAT                                  	Abell2744_2013	
SUPA0142223.fits	FLAT                                  	Abell2744_2013	
SUPA0142224.fits	FLAT                                  	Abell2744_2013	
SUPA0142411.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142412.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142413.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142414.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142415.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142416.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142417.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142418.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142419.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142420.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142421.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142422.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142423.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142424.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142425.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142426.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142427.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142428.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142448.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142449.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142450.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142451.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142452.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142453.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142454.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142455.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142456.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142457.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142458.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142459.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142460.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142461.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142462.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142463.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142464.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142465.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142518.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142519.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142520.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142521.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142522.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142523.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142524.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142525.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142526.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142527.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142528.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142529.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142530.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142531.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142532.fits	SUPERFLAT_2013-11-29_W-J-B            	Abell2744_2013	
SUPA0142770.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142771.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142772.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142773.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
SUPA0142774.fits	SUPERFLAT_2013-12-01_W-C-RC           	Abell2744_2013	
